,Unnamed: 0,Unnamed: 0.1,Business_links,Zipcode_searched,Has_reviews,Actual_Zipcode
101,102,102,https://www.yelp.com/biz/edco-plumbing-oklahoma-city-17?osq=plumbing,73101,Yes,73159
102,103,103,https://www.yelp.com/biz/kaul-hammond-plumbing-heat-and-air-edmond-2?osq=plumbing,73101,No,73013
103,104,104,https://www.yelp.com/biz/dads-plumbing-oklahoma-city-2?osq=plumbing,73101,Yes,73114
104,105,105,https://www.yelp.com/biz/five-star-plumbing-oklahoma-city-4?osq=plumbing,73101,No,73165
105,106,106,https://www.yelp.com/biz/timbur-plumbing-edmond?osq=plumbing,73101,Yes,73012
106,107,107,https://www.yelp.com/biz/reliable-septic-services-norman?osq=plumbing,73101,Yes,73026
107,108,108,https://www.yelp.com/biz/jds-plumbing-and-utility-service-blanchard-2?osq=plumbing,73101,No,73010
108,109,109,https://www.yelp.com/biz/spor-plumbing-norman?osq=plumbing,73101,Yes,73069
109,110,110,https://www.yelp.com/biz/d-owen-construction-norman-3?osq=plumbing,73101,No,73072
110,111,111,https://www.yelp.com/biz/green-and-sons-oklahoma-city?osq=plumbing,73101,No,73116
111,112,112,https://www.yelp.com/biz/h2o-rooter-doctor-oklahoma-city?osq=plumbing,73101,No,73110
112,113,113,https://www.yelp.com/biz/aaa-bathrooms-oklahoma-city-2?osq=plumbing,73101,No,73107
113,114,114,https://www.yelp.com/biz/norman-plumbing-contractors-washington-2?osq=plumbing,73101,Yes,73093
114,115,115,https://www.yelp.com/biz/advent-heat-air-plumbing-and-electric-choctaw?osq=plumbing,73101,Yes,73020
115,116,116,https://www.yelp.com/biz/norman-heating-and-air-conditioning-norman-3?osq=plumbing,73101,Yes,73071
116,117,117,https://www.yelp.com/biz/reinkes-total-home-services-oklahoma-city-4?osq=plumbing,73101,Yes,73120
117,118,118,https://www.yelp.com/biz/advanced-air-specialist-oklahoma-city?osq=plumbing,73101,Yes,73128
