,Unnamed: 0,Business_links,Zipcode_searched
191,29,https://www.yelp.com/biz/grooms-sewer-and-plumbing-service-oklahoma-city?osq=plumbing,73102
192,30,https://www.yelp.com/biz/weir-family-plumbing-oklahoma-city?osq=plumbing,73102
193,31,https://www.yelp.com/biz/bst-plumbing-del-city?osq=plumbing,73102
194,32,https://www.yelp.com/biz/four-seasons-control-edmond-2?osq=plumbing,73102
195,33,https://www.yelp.com/biz/ab-discount-plumbing-oklahoma-city-3?osq=plumbing,73102
196,34,https://www.yelp.com/biz/t-a-miller-construction-and-plumbing-oklahoma-city?osq=plumbing,73102
197,35,https://www.yelp.com/biz/plumbtastic-solutions-oklahoma-city?osq=plumbing,73102
200,38,https://www.yelp.com/biz/chasetheplumber-oklahoma-city-3?osq=plumbing,73102
201,39,https://www.yelp.com/biz/nowell-and-sons-plumbing-oklahoma-city-4?osq=plumbing,73102
319,25,https://www.yelp.com/biz/bowler-and-sons-plumbing-oklahoma-city?osq=plumbing,73103
332,38,https://www.yelp.com/biz/clays-plumbing-and-heating-oklahoma-city?osq=plumbing,73103
334,40,https://www.yelp.com/biz/homeland-plumbing-moore?osq=plumbing,73103
340,46,https://www.yelp.com/biz/okc-winnelson-company-oklahoma-city-2?osq=plumbing,73103
343,49,https://www.yelp.com/biz/bluefrog-plumbing-drain-of-oklahoma-city-oklahoma-city-2?osq=plumbing,73103
344,50,https://www.yelp.com/biz/skyline-plumbing-and-construction-oklahoma-city-3?osq=plumbing,73103
350,56,https://www.yelp.com/biz/repipe-specialists-oklahoma-city?osq=plumbing,73103
363,69,https://www.yelp.com/biz/reliable-blle-isle-plmbng-htng-and-ar-cndtnng-co-oklahoma-city?osq=plumbing,73103
366,72,https://www.yelp.com/biz/belle-isle-combustion-service-oklahoma-city?osq=plumbing,73103
371,77,https://www.yelp.com/biz/trade-mechanical-contractors-oklahoma-city?osq=plumbing,73103
372,78,https://www.yelp.com/biz/harrison-orr-air-conditioning-oklahoma-city?osq=plumbing,73103
373,79,https://www.yelp.com/biz/avant-plumbing-and-heating-oklahoma-city?osq=plumbing,73103
426,132,https://www.yelp.com/biz/public-insurance-claim-adjuster-oklahoma-city?osq=plumbing,73103
456,3,https://www.yelp.com/biz/jet-plumbing-service-oklahoma-city-3?osq=plumbing,73104
461,8,https://www.yelp.com/biz/stans-plumbing-bethany?osq=plumbing,73104
464,11,https://www.yelp.com/biz/red-dirt-plumbing-harrah?osq=plumbing,73104
467,14,https://www.yelp.com/biz/red-plains-plumbing-oklahoma-city-2?osq=plumbing,73104
468,15,https://www.yelp.com/biz/bobs-plumbing-norman?osq=plumbing,73104
477,24,https://www.yelp.com/biz/oasis-plumbing-and-mechanical-oklahoma-city?osq=plumbing,73104
485,32,https://www.yelp.com/biz/fox-plumbing-company-oklahoma-city?osq=plumbing,73104
499,46,https://www.yelp.com/biz/heartland-plumbing-oklahoma-city?osq=plumbing,73104
524,71,https://www.yelp.com/biz/friendly-plumbing-oklahoma-city?osq=plumbing,73104
530,77,https://www.yelp.com/biz/plumbing-masters-oklahoma-city?osq=plumbing,73104
542,89,https://www.yelp.com/biz/hope-plumbing-oklahoma-city?osq=plumbing,73104
550,97,https://www.yelp.com/biz/aces-three-plumbing-and-heating-oklahoma-city?osq=plumbing,73104
621,10,https://www.yelp.com/biz/truels-problem-solvers-oklahoma-city?osq=plumbing,73105
625,14,https://www.yelp.com/biz/randy-simons-plumbing-oklahoma-city?osq=plumbing,73105
627,16,https://www.yelp.com/biz/ever-ready-plumbing-heating-and-air-conditioning-oklahoma-city-3?osq=plumbing,73105
631,20,https://www.yelp.com/biz/cavnar-plumbing-oklahoma-city?osq=plumbing,73105
642,31,https://www.yelp.com/biz/smart-guy-plumbing-oklahoma-city?osq=plumbing,73105
647,36,https://www.yelp.com/biz/byrd-s-french-drain-solutions-oklahoma-city?osq=plumbing,73105
654,43,https://www.yelp.com/biz/silvernail-heat-air-plumbing-oklahoma-city?osq=plumbing,73105
655,44,https://www.yelp.com/biz/cs-plumbing-dale-3?osq=plumbing,73105
659,48,https://www.yelp.com/biz/ct-mep-oklahoma-city?osq=plumbing,73105
677,66,https://www.yelp.com/biz/water-source-technology-oklahoma-city?osq=plumbing,73105
681,70,https://www.yelp.com/biz/abobs-plumbing-oklahoma-city?osq=plumbing,73105
685,74,https://www.yelp.com/biz/silvernail-oklahoma-city?osq=plumbing,73105
688,77,https://www.yelp.com/biz/mullin-plumbing-oklahoma-city?osq=plumbing,73105
694,83,https://www.yelp.com/biz/platinum-plumbing-oklahoma-city?osq=plumbing,73105
701,90,https://www.yelp.com/biz/thunder-plumbing-oklahoma-city?osq=plumbing,73105
